City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,acajutla,13.5928,-89.8275,33.5,60,3,4.7,SV,1745167607
66,lihue,21.9789,-159.3672,22.77000000000004,83,40,6.17,US,1745167608
67,albany,42.6001,-73.9662,12.580000000000041,47,42,1.79,US,1745167590
68,masterton,-40.9597,175.6575,14.430000000000007,98,98,4.01,NZ,1745167611
69,port saint john's,-31.6229,29.5448,20.910000000000025,83,96,5.53,ZA,1745167612
70,grytviken,-54.2811,-36.5092,1.9600000000000364,76,48,1.49,GS,1745167613
71,puerto ayora,-0.7393,-90.3518,26.970000000000027,95,63,1.79,EC,1745167614
72,ust-nera,64.5667,143.2,-6.849999999999966,90,100,1.2,RU,1745167615
73,hawaiian paradise park,19.5933,-154.9731,20.5,87,75,1.54,US,1745167616
74,ilulissat,69.2167,-51.1,-2.9899999999999523,93,40,2.06,GL,1745167618
75,ulladulla,-35.35,150.4667,16.140000000000043,88,83,4.06,AU,1745167619
76,figuig (centre),32.1089,-1.2286,19.350000000000023,18,7,11.1,MA,1745167620
77,siwa oasis,29.2041,25.5195,30.470000000000027,16,79,4.49,EG,1745167621
78,thompson,55.7435,-97.8558,7.090000000000032,61,40,1.54,CA,1745167622
79,west island,-12.1568,96.8225,26.99000000000001,94,75,3.6,CC,1745167623
80,hithadhoo,-0.6,73.0833,29.02000000000004,74,14,4.65,MV,1745167624
81,porto novo,6.4965,2.6036,30.900000000000034,72,94,5.34,BJ,1745167626
82,fale old settlement,-9.3852,-171.2468,28.810000000000002,77,83,4.54,TK,1745167627
83,rongelap,11.1635,166.8941,26.78000000000003,69,60,6.39,MH,1745167628
84,lebu,-37.6167,-73.65,15.330000000000041,62,77,3.04,CL,1745167629
85,georgetown,5.4112,100.3354,28.970000000000027,79,20,4.12,MY,1745167294
86,coquimbo,-29.9533,-71.3436,19.430000000000007,64,40,3.09,CL,1745167345
87,auki,-8.7676,160.7034,25.49000000000001,89,100,1.18,SB,1745167632
88,nouadhibou,20.931,-17.0347,28.99000000000001,28,90,6.17,MR,1745167633
89,puerto natales,-51.7236,-72.4875,7.25,87,100,2.06,CL,1745167635
90,vilyuysk,63.7553,121.6247,0.29000000000002046,99,100,2.18,RU,1745167636
91,nuuk,64.1835,-51.7216,3.340000000000032,65,40,3.6,GL,1745167637
92,bilibino,68.0546,166.4372,-16.049999999999955,100,99,0.62,RU,1745167638
93,concepcion del oro,24.6333,-101.4167,18.54000000000002,18,0,3.31,MX,1745167639
94,turkmenbasy,40.0222,52.9552,16.430000000000007,41,0,3.09,TM,1745167640
95,tambura,5.6,27.4667,27.950000000000045,44,58,2.09,SS,1745167641
96,tindouf,27.6711,-8.1474,32.25,11,0,5.66,DZ,1745167642
97,cidreira,-30.1811,-50.2056,20.970000000000027,50,19,5.37,BR,1745167643
98,boyolangu,-8.1181,111.8935,26.27000000000004,94,92,0.74,ID,1745167645
99,acarau,-2.8856,-40.12,28.75,70,98,4.32,BR,1745167646
100,port mathurin,-19.6833,63.4167,27.110000000000014,81,26,10.36,MU,1745167647
101,noumea,-22.2763,166.4572,21.850000000000023,74,29,2.12,NC,1745167502
102,loango,-4.6719,11.8312,28.810000000000002,79,20,5.14,CG,1745167649
103,tocopilla,-22.092,-70.1979,20.850000000000023,80,82,3.5,CL,1745167650
104,springbok,-29.6643,17.8865,20.340000000000032,43,1,2.96,ZA,1745167651
105,nemuro,43.3236,145.575,3.4500000000000455,92,100,5.21,JP,1745167652
106,carbonear,47.7332,-53.2148,7.300000000000011,95,100,3.12,CA,1745167654
107,dudinka,69.4058,86.1778,-12.5,85,41,4.12,RU,1745167655
108,san buenaventura,27.0833,-101.5333,22.49000000000001,25,46,4.59,MX,1745167656
109,kharabali,47.4196,47.2568,16.05000000000001,30,0,3.88,RU,1745167657
110,yazoo city,32.8551,-90.4056,26.27000000000004,66,87,7.06,US,1745167658
111,amos,48.5669,-78.1162,0.9700000000000273,71,49,3.42,CA,1745167567
112,kodiak,57.79,-152.4072,3.730000000000018,93,100,0.0,US,1745167660
113,torghay,49.6339,63.4981,18.390000000000043,46,42,5.18,KZ,1745167662
114,sinazongwe,-17.2614,27.4618,22.180000000000007,80,63,2.35,ZM,1745167663
115,shahpur,16.7,76.8333,32.960000000000036,34,33,5.82,IN,1745167664
116,doka,13.5167,35.7667,36.960000000000036,13,38,3.45,SD,1745167665
117,enewetak,11.3474,162.3373,27.390000000000043,76,100,6.18,MH,1745167666
118,euclides da cunha,-10.5075,-39.0158,33.85000000000002,26,27,3.7,BR,1745167667
119,ambalangoda,6.2355,80.0538,27.610000000000014,80,85,2.56,LK,1745167668
120,zhu cheng city,35.995,119.4026,9.5,81,0,2.7,CN,1745167669
121,patterson,37.4716,-121.1297,16.730000000000018,64,0,1.45,US,1745167658
122,dalby,-27.1833,151.2667,18.08000000000004,74,21,4.88,AU,1745167672
123,buta,2.7858,24.73,26.600000000000023,57,54,1.08,CD,1745167673
124,stanley,54.868,-1.6985,10.010000000000048,66,0,3.6,GB,1745167674
125,fuyuan,46.4333,127.0833,11.020000000000039,49,100,5.42,CN,1745167675
126,kas,36.2018,29.6377,18.720000000000027,78,2,1.37,TR,1745167676
127,general pico,-35.6566,-63.7568,18.390000000000043,47,84,6.14,AR,1745167561
128,durban,-29.8579,31.0292,20.510000000000048,80,68,1.18,ZA,1745167678
129,ngereklmadel,7.4883,134.4856,25.05000000000001,94,100,1.54,PW,1745167680
130,mount isa,-20.7333,139.5,23.870000000000005,57,43,5.14,AU,1745167681
131,turek,52.0155,18.5005,20.600000000000023,52,2,2.76,PL,1745167682
132,isangel,-19.55,169.2667,23.110000000000014,69,94,3.66,VU,1745167683
133,al mindak,20.1588,41.2834,20.370000000000005,47,1,0.56,SA,1745167684
134,aktau,43.65,51.2,14.32000000000005,36,0,4.48,KZ,1745167685
135,zhezqazghan,47.7833,67.7667,13.32000000000005,62,0,5.0,KZ,1745167686
136,vetluzhskiy,58.3902,45.4654,8.020000000000039,90,100,2.35,RU,1745167687
137,arraial do cabo,-22.9661,-42.0278,26.980000000000018,74,20,6.69,BR,1745167689
138,filingue,14.3521,3.3168,39.920000000000016,4,43,3.28,NE,1745167690
139,kushiro,42.975,144.3747,6.53000000000003,100,100,1.54,JP,1745167691
140,queenstown,-31.8976,26.8753,14.350000000000023,80,100,2.44,ZA,1745167692
141,alotau,-10.3069,150.4462,24.140000000000043,93,100,1.14,PG,1745167693
142,tura,25.5198,90.2201,23.939999999999998,70,1,2.11,IN,1745167694
143,ivdel',60.6911,60.4206,-1.4899999999999523,67,3,3.98,RU,1745167695
144,whitehorse,60.7161,-135.0538,1.170000000000016,71,40,0.0,CA,1745167696
145,ca mau,9.1769,105.15,26.82000000000005,79,32,1.12,VN,1745167698
146,pacific grove,36.6177,-121.9166,14.120000000000005,87,40,1.54,US,1745167699
147,mount gambier,-37.8333,140.7667,14.180000000000007,90,83,7.55,AU,1745167700
148,petropavlovsk-kamchatsky,53.0452,158.6483,-2.669999999999959,54,0,3.0,RU,1745167701
149,iskateley,67.6803,53.1512,-10.039999999999964,91,52,3.5,RU,1745167702
150,kiruhura,-2.4773,29.7679,16.53000000000003,94,96,0.67,RW,1745167703
151,mumford,5.2618,-0.759,28.810000000000002,75,49,6.25,GH,1745167654
152,college,64.8569,-147.8028,-0.4399999999999977,79,40,1.54,US,1745167705
153,barra de santo antonio,-9.4047,-35.5072,28.77000000000004,64,39,4.81,BR,1745167706
154,weno,7.4515,151.8468,26.970000000000027,83,100,1.54,FM,1745167708
155,jamestown,42.097,-79.2353,12.230000000000018,53,89,1.34,US,1745167709
156,sovetskiy,61.3614,63.5842,-3.3100000000000023,79,44,5.35,RU,1745167710
157,barah,13.7,30.3667,31.610000000000014,6,88,5.25,SD,1745167711
158,abepura,-2.6333,140.5833,24.450000000000045,100,20,1.03,ID,1745167712
159,wenchang,30.904,118.4887,20.110000000000014,72,100,2.15,CN,1745167713
160,frederico westphalen,-27.3592,-53.3944,26.29000000000002,38,18,1.85,BR,1745167714
161,huarmey,-10.0681,-78.1522,22.680000000000007,75,33,3.72,PE,1745167718
162,novyy urgal,51.0736,132.5642,2.0100000000000477,90,81,0.87,RU,1745167719
163,punta arenas,-53.15,-70.9167,8.060000000000002,81,75,3.6,CL,1745167720
164,kalmunai,7.4167,81.8167,28.04000000000002,79,71,2.04,LK,1745167721
165,ambovombe,-25.1667,46.0833,23.200000000000045,79,100,2.56,MG,1745167722
166,grand-bourg,15.8835,-61.3148,26.060000000000002,76,48,3.57,GP,1745167723
167,anadyr,64.75,177.4833,-1.7199999999999704,92,100,2.0,RU,1745167725
168,saguenay,48.4168,-71.0657,1.4600000000000364,63,75,12.35,CA,1745167327
169,hirara,24.8,125.2833,22.920000000000016,100,84,1.03,JP,1745167727
170,okhotsk,59.3833,143.3,-2.9699999999999704,98,100,3.16,RU,1745167728
171,sola,-13.8833,167.55,26.350000000000023,84,100,6.05,VU,1745167729
172,torbat-e heydariyeh,35.274,59.2195,11.330000000000041,38,0,4.58,IR,1745167730
173,severo-yeniseyskiy,60.3725,93.0408,-5.949999999999989,88,100,5.14,RU,1745167731
174,gorontalo,0.5412,123.0595,23.840000000000032,98,52,1.38,ID,1745167732
175,aschheim,48.1711,11.7168,15.600000000000023,63,88,8.24,DE,1745167733
176,swakopmund,-22.6833,14.5333,16.840000000000032,82,83,3.99,NA,1745167735
177,labytnangi,66.6572,66.4183,-8.870000000000005,84,100,3.18,RU,1745167736
178,ugoofaaru,5.6667,73.0,29.100000000000023,74,67,3.98,MV,1745167737
179,ghanzi,-21.5667,21.7833,23.03000000000003,43,10,3.23,BW,1745167738
180,belyy yar,53.6039,91.3903,1.9399999999999977,75,0,9.0,RU,1745167739
181,punta del este,-34.9667,-54.95,18.060000000000002,76,75,6.69,UY,1745167741
182,el golaa,33.4849,9.0068,29.620000000000005,21,100,5.44,TN,1745167742
183,thunder bay,48.4001,-89.3168,4.990000000000009,75,75,4.63,CA,1745167630
184,tarnogskiy gorodok,60.4997,43.5761,4.990000000000009,95,100,2.32,RU,1745167745
185,bunia,1.5667,30.25,18.08000000000004,92,49,2.28,CD,1745167746
186,acapulco de juarez,16.8634,-99.8901,29.900000000000034,70,40,0.0,MX,1745167747
187,chuhar jamali,24.3895,67.9923,29.160000000000025,38,0,5.44,PK,1745167748
188,keflavik,64.0049,-22.5624,7.240000000000009,45,20,5.14,IS,1745167749
189,el abiodh sidi cheikh,32.893,0.5484,17.77000000000004,18,52,8.51,DZ,1745167750
190,pangkalanbuun,-2.6833,111.6167,23.650000000000034,99,96,0.72,ID,1745167751
191,kaka,37.3482,59.6143,16.360000000000014,34,2,3.0,TM,1745167754
192,puerto santa,-8.9906,-78.6456,21.950000000000045,77,59,3.58,PE,1745167755
193,qarauyl,48.9451,79.255,8.960000000000036,40,77,13.68,KZ,1745167756
194,la sierpe,21.7717,-79.2684,32.34000000000003,28,9,7.98,CU,1745167757
195,envira,-7.3,-70.2167,34.610000000000014,46,45,0.8,BR,1745167758
196,margate,51.3813,1.3862,9.370000000000005,82,99,0.45,GB,1745167675
197,vuokatti,64.146,28.2697,6.7000000000000455,80,100,1.87,FI,1745167760
198,codrington,-38.2667,141.9667,14.28000000000003,89,100,3.79,AU,1745167763
199,olonkinbyen,70.9221,-8.7187,-6.899999999999977,56,77,3.93,SJ,1745167764
200,alenquer,-1.9417,-54.7383,31.58000000000004,62,79,1.58,BR,1745167765
201,kone,-21.0595,164.8658,19.680000000000007,90,43,1.51,NC,1745167766
202,st. john's,47.5649,-52.7093,8.379999999999995,94,100,3.09,CA,1745167767
203,kingston,17.997,-76.7936,31.200000000000045,58,20,2.57,JM,1745167670
204,duncan,34.5023,-97.9578,15.210000000000036,77,75,8.23,US,1745167559
205,usogorsk,63.4106,48.6872,-5.2099999999999795,94,81,0.88,RU,1745167770
206,dumai,1.6833,101.45,25.610000000000014,92,94,1.17,ID,1745167743
207,zinjibar,13.1287,45.3807,28.150000000000034,66,7,5.8,YE,1745167773
208,cockburn town,21.4612,-71.1419,25.980000000000018,73,40,7.72,TC,1745167774
209,port alfred,-33.5906,26.891,18.430000000000007,93,100,4.48,ZA,1745167735
210,kailua-kona,19.6406,-155.9956,22.53000000000003,84,11,0.45,US,1745167776
211,nabire,-3.3667,135.4833,24.79000000000002,93,100,1.01,ID,1745167777
212,saugor,23.8333,78.7167,31.379999999999995,13,0,3.64,IN,1745167778
213,turabah,21.2141,41.6331,23.879999999999995,47,82,7.33,SA,1745167779
214,khandyga,62.6667,135.6,-5.279999999999973,96,100,1.67,RU,1745167781
215,valparaiso,-33.0393,-71.6273,17.78000000000003,82,75,2.06,CL,1745167527
216,kurumkan,54.3,110.3,-5.6200000000000045,63,12,2.42,RU,1745167783
217,beau vallon,-20.4189,57.6953,26.129999999999995,94,75,3.6,MU,1745167784
218,banket,-17.3833,30.4,17.03000000000003,91,99,1.89,ZW,1745167785
219,wenling,28.3669,121.36,15.939999999999998,93,100,1.53,CN,1745167786
220,leeton,-34.5667,146.4,15.050000000000011,63,19,2.17,AU,1745167787
221,san antonio de pale,-1.4014,5.6325,28.24000000000001,79,72,3.99,GQ,1745167789
222,kaeng khoi,14.5862,100.9976,31.33000000000004,67,100,4.99,TH,1745167790
223,chos malal,-37.3781,-70.2709,22.840000000000032,11,46,1.94,AR,1745167791
224,shahrud,36.4182,54.9763,14.980000000000018,35,52,3.21,IR,1745167792
225,yuzhno-kurilsk,44.0306,145.8556,2.330000000000041,90,100,9.87,RU,1745167793
226,ghadamis,30.1337,9.5007,28.99000000000001,11,100,3.72,LY,1745167794
227,borazjan,29.2666,51.2159,23.600000000000023,35,0,1.63,IR,1745167795
228,tosontsengel,48.7567,98.2839,-7.509999999999991,26,0,4.34,MN,1745167796
229,longyearbyen,78.2186,15.6401,-14.45999999999998,83,33,0.55,SJ,1745167762
230,puerto baquerizo moreno,-0.9,-89.6,26.55000000000001,89,75,3.09,EC,1745167631
231,atherton,53.5237,-2.4935,16.920000000000016,48,10,1.79,GB,1745167800
232,enumclaw,47.2043,-121.9915,8.800000000000011,91,100,0.45,US,1745167671
233,fuglafjordur,62.244,-6.814,4.470000000000027,87,100,10.8,FO,1745167802
234,ta`u,-14.2336,-169.5144,28.210000000000036,76,100,3.54,AS,1745167803
235,nova vicosa,-17.8919,-39.3719,30.52000000000004,65,36,3.52,BR,1745167804
236,genhe,50.7833,121.5167,1.830000000000041,33,100,1.05,CN,1745167805
237,naze,28.3667,129.4833,20.510000000000048,94,94,7.35,JP,1745167667
238,omurtag,43.1,26.4167,15.370000000000005,62,18,1.0,BG,1745167807
239,hasaki,35.7333,140.8333,16.450000000000045,89,92,7.46,JP,1745167809
240,hadibu,12.65,54.0333,27.310000000000002,54,2,1.13,YE,1745167810
241,karabash,55.4808,60.2157,13.590000000000032,90,99,3.04,RU,1745167811
242,wacheng,33.7833,114.5167,19.939999999999998,47,99,4.46,CN,1745167812
243,galliano,29.4422,-90.2992,26.0,69,40,4.63,US,1745167813
244,matthew town,20.95,-73.6667,27.660000000000025,62,6,9.75,BS,1745167814
245,colonia,50.9333,6.95,14.470000000000027,84,20,1.54,DE,1745167815
246,mananara,-16.1667,49.7667,24.960000000000036,89,1,1.15,MG,1745167816
247,pathein,16.7833,94.7333,27.670000000000016,79,37,3.04,MM,1745167818
248,sibay,52.7181,58.6658,17.24000000000001,54,10,6.56,RU,1745167819
249,shubarshi,48.5872,57.1869,16.760000000000048,35,3,3.62,KZ,1745167820
250,greenland,43.0362,-70.8328,14.420000000000016,34,20,9.26,US,1745167821
251,wainwright,52.839,-110.8572,7.189999999999998,43,69,3.05,CA,1745167822
252,brandon,27.9378,-82.2859,29.99000000000001,45,0,5.14,US,1745167534
253,erenhot,43.6475,111.9767,10.220000000000027,77,100,2.26,CN,1745167824
254,port-cartier,50.0334,-66.8654,5.1299999999999955,77,93,10.51,CA,1745167825
255,hammerfest,70.6634,23.6821,-1.75,59,40,6.17,NO,1745167827
256,la'ie,21.6477,-157.9253,23.390000000000043,83,85,1.79,US,1745167828
257,mineiros,-17.5694,-52.5511,29.29000000000002,54,15,2.5,BR,1745167829
258,al jawf,29.5,38.75,30.27000000000004,14,79,3.38,SA,1745167830
259,genoa,44.4129,8.9573,16.75,83,40,5.66,IT,1745167831
260,quellon,-43.1167,-73.6167,9.590000000000032,95,100,8.14,CL,1745167832
261,aasiaat,68.7098,-52.8699,-1.7999999999999545,77,98,2.18,GL,1745167833
